oneplan_solution_id,market,marketname,parentsolutionid,solutionid,solutionname,solutiontype,solutioninitiative,technology_type,requested_year,onairyear,status,por,pory,disabled,offloadprediction,useexhaustedyear,usebuildplanyear,projectnumber,bw700,bw700uc,bw600,bw700l,bw700ud,bw47,bwaws,bwpcs,bw850,bwaws3,bwlaa,bwcbrs,bwcband,bw28,bw39,carrnum,nodecnt,comments1,comments2,comments3,comments4,comments5,createdby,createdon,modifiedby,modifiedon,completedby,completedon,reactivatedby,reactivatedon,deleted,deletedby,deletedon,spectrum_override,spectrum_override_reason,spectrum_modified_by,spectrum_modified_on,useraction,useractionby,useractionon,useractionreason,useractioncomment,xpor,xdisabled,xoffloadprediction,xdeleted,source,groupname,capitalestimate,primary_rationale,rationale,groupid,symbiotic0,symbiotic1,symbiotic2,abbreviation,apply,release_flag,release_kss,release_priority_rank,release_tier,project_release_timestamp,released_by,rationale_reason,kracken_suggested_year,kracken_pslc,build_flag,sectors_applied,sector_count,cma_number,cma_name,trafficapprovedby,trafficapprovedon,total_sspt_sectors_added,solution_category,primary_site,fuze_site_id,budget_project_type,fips,existing_location_flag,legal_due_date,morphology,morphologyabbr,autodetected,autodetectedon,root_failures,sgfi,plannedgnodeb,clusterid,dependency_type,related_spm_project_no,ecpdid,dss,required_by_date
372287,133,Dallas,372287,1527159,133895-4TX,MODIFICATION,4TX,4G,2019,2021,COMPLETED,0,0,0,1,0,0,15174055,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,-,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-23 14:33:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,FUZE Project,2021-06-08 16:32:16,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Low Band Densification Default,5G Low Band Densification Default,,,,,5GLBD/224/133,1,YES,,,,2021-08-12 15:10:43,st_spm_sync,,,,,,0,9,Dallas; TX,,,,,133101-1,704657,5GSB3,48113,Not Applicable,,URBAN,UB,1,2021-12-17 0:17:00,,,,,,,,,
372280,133,Dallas,372280,1527152,133438-4TX,MODIFICATION,4TX,4G,2019,2025,COMPLETED,0,0,0,1,0,0,15171017,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,-,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-23 14:33:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,Auto Detect,2021-04-18 0:00:00,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Low Band Densification Default,5G Low Band Densification Default,,,,,5GLBD/224/133,1,YES,,,,2021-08-12 15:03:42,batch_st_spm_sync,,,,,,0,9,Dallas; TX,,,,,133352-1,390471,5GSB3,48113,Not Applicable,,URBAN-SUBURBAN,UBSB,1,2021-12-17 0:17:00,,,,,,,,,
372278,133,Dallas,372278,1527150,133543-4TX,MODIFICATION,4TX,4G,2019,2020,COMPLETED,0,2020,0,1,0,0,15171005,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,-,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-23 14:33:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,Auto Detect,2020-06-22 0:00:00,,,0,,,NO,,,,,,,,,FALSE,FALSE,FALSE,FALSE,Manual,,0,5G Low Band Densification Default,5G Low Band Densification Default,,,,,5GLBD/224/133,1,YES,,,,2021-08-12 15:03:39,batch_st_spm_sync,,,,,,0,9,Dallas; TX,,,,,133339-1,388605,5GSB3,48113,Not Applicable,,URBAN-SUBURBAN,UBSB,1,2021-12-17 0:17:00,,,,,,,,,
386586,133,Dallas,386586,1544828,GUS THOMASSON - Sol for Drop and Swap,MODIFICATION,PCS,4G,2019,2020,COMPLETED,0,2020,0,1,0,0,15480511,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,-,-,-,-,-,SHAMIAS,2019-03-14 9:40:21,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,FUZE Project,2020-04-17 12:03:53,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Low Band Densification Default,5G Low Band Densification Default,,,,,5GLBD/224/133,1,YES,,,,2021-08-13 2:21:27,batch_st_spm_sync,Drop and Swap,,,,,0,9,Dallas; TX,,,,,133112-1,697210,5GSB3,48113,Not Applicable,,URBAN,UB,1,2021-12-17 0:17:00,,,,,,,,,
511090,133,Dallas,370851,5606330,TX_DAL_DALLAS_UTE_080,SC,LAA,4G,2019,2027,INACTIVE,0,0,0,1,0,0,15308737,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 4G & 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,5G Millimeter Wave Densification Default,,,,,5GMWD,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,Other,,,,,1,9,Dallas; TX,,,,,,616538847,5GNRM,48113,,,URBAN,UB,0,,,,,,,,,,
511016,133,Dallas,370841,5606300,TX_DAL_DALLAS_MD_010,SC,LAA,4G,0,2029,INACTIVE,0,0,0,1,0,0,16672221,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 4G & 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,5G Millimeter Wave Densification Default,,,,,5GMWD,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,617067276,5GNRM,48113,,,URBAN,UB,0,,,,,,,,,,
510701,133,Dallas,370774,5606166,HIDDENRIDGE21_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15298149,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Micro (SC Trad),Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,5G Millimeter Wave Densification Default,,,,,5GMWD,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616798027,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
510695,133,Dallas,370773,5606163,HIDDENRIDGE20_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15298147,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Micro (SC Trad),Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616798026,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
510688,133,Dallas,370772,5606160,HIDDENRIDGE19_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15298143,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Micro (SC Trad),Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,5G Millimeter Wave Densification Default,,,,,5GMWD,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616798025,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
510668,133,Dallas,370769,5606151,HIDDENRIDGE16_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15298131,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Micro (SC Trad),Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616798022,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
510645,133,Dallas,370765,5606140,HIDDENRIDGE15_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15286089,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 4G & 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616795761,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
